FreqDailyobsdate,SOFRINDEX,SOFR30DAYAVG,SOFR90DAYAVG,SOFR180DAYAVG
2019-12-11,1.03716225,1.575970000000000000,1.810880000000000000,2.06183000000000000
2019-12-12,1.03720661,1.575300000000000000,1.803520000000000000,2.05728000000000000
2019-12-13,1.03725070,1.573970000000000000,1.796040000000000000,2.05268000000000000
2019-12-16,1.03738381,1.569960000000000000,1.771380000000000000,2.03848000000000000
2019-12-17,1.03743049,1.570960000000000000,1.730870000000000000,2.03433000000000000
2019-12-18,1.03747487,1.569290000000000000,1.719600000000000000,2.02973000000000000
2019-12-19,1.03751896,1.568290000000000000,1.714920000000000000,2.02502000000000000
2019-12-20,1.03756306,1.566960000000000000,1.711240000000000000,2.02030000000000000
2019-12-23,1.03769535,1.562280000000000000,1.700300000000000000,2.00582000000000000
2019-12-24,1.03773916,1.560280000000000000,1.695390000000000000,2.00072000000000000
2019-12-25,#N/A,#N/A,#N/A,#N/A
2019-12-26,1.03782679,1.556940000000000000,1.686240000000000000,1.99017000000000000
2019-12-27,1.03787061,1.556280000000000000,1.682900000000000000,1.98467000000000000
2019-12-30,1.03800294,1.550940000000000000,1.667280000000000000,1.96874000000000000
2019-12-31,1.03804734,1.547270000000000000,1.663480000000000000,1.96302000000000000
2020-01-01,#N/A,#N/A,#N/A,#N/A
2020-01-02,1.03813673,1.541260000000000000,1.656900000000000000,1.95152000000000000
2020-01-03,1.03818114,1.540920000000000000,1.653780000000000000,1.94563000000000000
2020-01-06,1.03831524,1.541260000000000000,1.644630000000000000,1.92953000000000000
2020-01-07,1.03835994,1.541260000000000000,1.641280000000000000,1.92443000000000000
2020-01-08,1.03840494,1.541590000000000000,1.638050000000000000,1.91966000000000000
2020-01-09,1.03844965,1.541260000000000000,1.634700000000000000,1.91512000000000000
2020-01-10,1.03849436,1.541260000000000000,1.631350000000000000,1.91058000000000000
2020-01-13,1.03862850,1.542590000000000000,1.621320000000000000,1.89577000000000000
2020-01-14,1.03867293,1.542590000000000000,1.616180000000000000,1.89056000000000000
2020-01-15,1.03871765,1.542930000000000000,1.610610000000000000,1.88545000000000000
2020-01-16,1.03876266,1.540920000000000000,1.606260000000000000,1.88069000000000000
2020-01-17,1.03880739,1.541260000000000000,1.602580000000000000,1.87587000000000000
2020-01-20,#N/A,#N/A,#N/A,#N/A
2020-01-21,1.03898514,1.542590000000000000,1.587740000000000000,1.85647000000000000
2020-01-22,1.03902958,1.542920000000000000,1.584060000000000000,1.85153000000000000
2020-01-23,1.03907403,1.543590000000000000,1.580490000000000000,1.84666000000000000
2020-01-24,1.03911848,1.544260000000000000,1.577140000000000000,1.84178000000000000
2020-01-27,1.03925097,1.544920000000000000,1.566990000000000000,1.82715000000000000
2020-01-28,1.03929513,1.544930000000000000,1.563870000000000000,1.82143000000000000
2020-01-29,1.03933930,1.544930000000000000,1.560630000000000000,1.81773000000000000
2020-01-30,1.03938348,1.544590000000000000,1.558070000000000000,1.81403000000000000
2020-01-31,1.03942909,1.545600000000000000,1.558070000000000000,1.81061000000000000
2020-02-03,1.03956768,1.550930000000000000,1.558960000000000000,1.80147000000000000
2020-02-04,1.03961360,1.552270000000000000,1.559070000000000000,1.79861000000000000
2020-02-05,1.03965980,1.553940000000000000,1.559410000000000000,1.79587000000000000
2020-02-06,1.03970572,1.555270000000000000,1.559740000000000000,1.79295000000000000
2020-02-07,1.03975164,1.556270000000000000,1.560080000000000000,1.79004000000000000
2020-02-10,1.03988854,1.559280000000000000,1.560750000000000000,1.78079000000000000
2020-02-11,1.03993418,1.560280000000000000,1.560860000000000000,1.77771000000000000
2020-02-12,1.03997982,1.561280000000000000,1.560970000000000000,1.77435000000000000
2020-02-13,1.04002518,1.562280000000000000,1.560860000000000000,1.77121000000000000
2020-02-14,1.04007054,1.562950000000000000,1.560640000000000000,1.76807000000000000
2020-02-17,#N/A,#N/A,#N/A,#N/A
2020-02-18,1.04025313,1.567290000000000000,1.560740000000000000,1.75602000000000000
2020-02-19,1.04029936,1.569290000000000000,1.561080000000000000,1.75327000000000000
2020-02-20,1.04034531,1.570960000000000000,1.561190000000000000,1.75042000000000000
2020-02-21,1.04039154,1.572960000000000000,1.561420000000000000,1.74762000000000000
2020-02-24,1.04052853,1.577300000000000000,1.561640000000000000,1.73859000000000000
2020-02-25,1.04057420,1.578970000000000000,1.562080000000000000,1.73557000000000000
2020-02-26,1.04062015,1.580970000000000000,1.562530000000000000,1.73260000000000000
2020-02-27,1.04066583,1.582640000000000000,1.562860000000000000,1.72935000000000000
2020-02-28,1.04071150,1.584310000000000000,1.562090000000000000,1.72610000000000000
2020-03-02,1.04085026,1.587310000000000000,1.560630000000000000,1.71663000000000000
2020-03-03,1.04089623,1.586980000000000000,1.561080000000000000,1.71316000000000000
2020-03-04,1.04094365,1.588310000000000000,1.562200000000000000,1.70996000000000000
2020-03-05,1.04097922,1.576300000000000000,1.558630000000000000,1.70481000000000000
2020-03-06,1.04101160,1.560280000000000000,1.553830000000000000,1.69904000000000000
2020-03-09,1.04110703,1.511550000000000000,1.538660000000000000,1.68162000000000000
2020-03-10,1.04113855,1.495200000000000000,1.533530000000000000,1.67568000000000000
2020-03-11,1.04117065,1.479520000000000000,1.528740000000000000,1.66957000000000000
2020-03-12,1.04120391,1.465170000000000000,1.524500000000000000,1.66369000000000000
2020-03-13,1.04123862,1.452480000000000000,1.520710000000000000,1.65809000000000000
